area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
02261,1990,27,Local Government,All Industries,9,715,21238445,29704
02261,1990,27,Private,All Industries,383,3195,103324342,32339
02270,1990,26,Total Covered,All Industries,97,1226,23037439,18790
02270,1990,27,Federal Government,All Industries,7,25,469573,18782
02270,1990,27,State Government,All Industries,0,0,0,0
02270,1990,27,Local Government,All Industries,19,792,16960189,21414
02270,1990,27,Private,All Industries,63,384,4781658,12452
06001,1990,26,Total Covered,All Industries,30479,594538,16204696092,27255
06001,1990,27,Federal Government,All Industries,107,21344,665494296,31179
06001,1990,27,State Government,All Industries,309,37032,1125955804,30404
06001,1990,27,Local Government,All Industries,136,58383,1820098915,31175
06001,1990,27,Private,All Industries,29927,477778,12593147077,26357
06013,1990,26,Total Covered,All Industries,18466,296526,8109051031,27346
06013,1990,27,Federal Government,All Industries,49,6827,236145528,34589
06013,1990,27,State Government,All Industries,35,669,22057316,32970
06013,1990,27,Local Government,All Industries,99,35253,972350486,27582
06013,1990,27,Private,All Industries,18283,253776,6878497701,27104
06015,1990,26,Total Covered,All Industries,657,6635,140290975,21144
06015,1990,27,Federal Government,All Industries,11,163,4489049,27540
06015,1990,27,State Government,All Industries,30,1094,42407805,38763
06015,1990,27,Local Government,All Industries,18,1043,22098703,21187
06015,1990,27,Private,All Industries,599,4335,71295418,16446
06023,1990,26,Total Covered,All Industries,4152,44372,890102224,20059
06023,1990,27,Federal Government,All Industries,45,926,24233429,26170
06023,1990,27,State Government,All Industries,267,2369,81654261,34467
06023,1990,27,Local Government,All Industries,78,6000,125322213,20887
06023,1990,27,Private,All Industries,3761,35077,658892321,18784
06037,1990,26,Total Covered,All Industries,213930,4288690,120445663550,28084
06037,1990,27,Federal Government,All Industries,305,82712,2459835512,29739
06037,1990,27,State Government,All Industries,0,0,0,0
06037,1990,27,Local Government,All Industries,502,382084,12123481472,31729
06037,1990,27,International Government,All Industries,0,0,0,0
06037,1990,27,Private,All Industries,211210,3763260,104047082790,27648
06041,1990,26,Total Covered,All Industries,8701,97663,2546860410,26078
06041,1990,27,Federal Government,All Industries,29,935,30090259,32182
06041,1990,27,State Government,All Industries,0,0,0,0
06041,1990,27,Local Government,All Industries,75,10070,261901197,26008
06041,1990,27,Private,All Industries,8563,85471,2205405363,25802
06045,1990,26,Total Covered,All Industries,2984,29708,539709124,18167
06045,1990,27,Federal Government,All Industries,35,338,9317584,27566
06045,1990,27,State Government,All Industries,20,328,11679369,35607
06045,1990,27,Local Government,All Industries,59,5048,102935253,20391
06045,1990,27,Private,All Industries,2870,23994,415776918,17328
06053,1990,26,Total Covered,All Industries,8470,141815,2854375971,20127
06053,1990,27,Federal Government,All Industries,68,7738,156658705,20245
06053,1990,27,State Government,All Industries,47,890,31213962,35071
06053,1990,27,Local Government,All Industries,103,15562,419754997,26973
06053,1990,27,Private,All Industries,8251,117625,2246748307,19100
06055,1990,26,Total Covered,All Industries,3591,45526,974393657,21403
06055,1990,27,Federal Government,All Industries,17,316,10055846,31822
06055,1990,27,State Government,All Industries,154,3171,98002424,30905
06055,1990,27,Local Government,All Industries,30,4543,109250886,24048
06055,1990,27,Private,All Industries,3390,37496,757084501,20191
06059,1990,26,Total Covered,All Industries,60009,1233090,32652331393,26480
06059,1990,27,Federal Government,All Industries,90,16458,495419512,30102
06059,1990,27,State Government,All Industries,321,14557,474468954,32593
06059,1990,27,Local Government,All Industries,212,87137,2504415111,28741
06059,1990,27,Private,All Industries,59385,1114938,29178027816,26170
06073,1990,26,Total Covered,All Industries,53858,1001155,23969809389,23942
06073,1990,27,Federal Government,All Industries,262,45660,1221787935,26758
06073,1990,27,State Government,All Industries,477,25361,727193316,28673
06073,1990,27,Local Government,All Industries,171,102428,2731555860,26668
06073,1990,27,Private,All Industries,52948,827706,19289272278,23304
06075,1990,26,Total Covered,All Industries,30057,580950,18206304313,31338
06075,1990,27,Federal Government,All Industries,99,27207,898168351,33012
06075,1990,27,State Government,All Industries,694,25214,853546795,33852
06075,1990,27,Local Government,All Industries,29,37544,1450481375,38634
06075,1990,27,Private,All Industries,29236,490985,15004107792,30559
06079,1990,26,Total Covered,All Industries,6034,75458,1562269886,20703
06079,1990,27,Federal Government,All Industries,39,683,19252859,28188
06079,1990,27,State Government,All Industries,319,5753,215369168,37435
06079,1990,27,Local Government,All Industries,54,8526,214341059,25139
06079,1990,27,Private,All Industries,5621,60497,1113306800,18402
06081,1990,26,Total Covered,All Industries,17141,311071,9258859666,29764
06081,1990,27,Federal Government,All Industries,47,4780,169530701,35466
06081,1990,27,State Government,All Industries,37,689,23831059,34587
06081,1990,27,Local Government,All Industries,125,24189,727036229,30056
06081,1990,27,Private,All Industries,16932,281413,8338461677,29630
06083,1990,26,Total Covered,All Industries,10040,166134,3815670674,22967
06083,1990,27,Federal Government,All Industries,49,4193,112058192,26725
06083,1990,27,State Government,All Industries,40,8694,164226464,18889
06083,1990,27,Local Government,All Industries,105,16650,411347964,24705
06083,1990,27,Private,All Industries,9846,136597,3128038054,22899
06085,1990,26,Total Covered,All Industries,34764,855543,27677526419,32350
06085,1990,27,Federal Government,All Industries,84,13494,455005346,33719
06085,1990,27,State Government,All Industries,344,7083,220952087,31194
06085,1990,27,Local Government,All Industries,141,67730,1982098632,29264
06085,1990,27,Private,All Industries,34195,767236,25019470354,32609
06087,1990,26,Total Covered,All Industries,6612,96742,2019484012,20874
06087,1990,27,Federal Government,All Industries,27,567,17737337,31282
06087,1990,27,State Government,All Industries,32,4776,94186323,19720
06087,1990,27,Local Government,All Industries,61,9911,251274065,25353
06087,1990,27,Private,All Industries,6491,81488,1656286287,20325
06095,1990,26,Total Covered,All Industries,5621,98926,2333052816,23583
06095,1990,27,Federal Government,All Industries,47,14098,439064239,31143
06095,1990,27,State Government,All Industries,76,1967,74945173,38101
06095,1990,27,Local Government,All Industries,58,12958,334907445,25845
06095,1990,27,Private,All Industries,5439,69903,1484135959,21231
06097,1990,26,Total Covered,All Industries,11934,146841,3276813065,22315
06097,1990,27,Federal Government,All Industries,56,1861,58436467,31400
06097,1990,27,State Government,All Industries,238,4284,131860785,30779
06097,1990,27,Local Government,All Industries,109,16437,424035848,25797
06097,1990,27,Private,All Industries,11530,124259,2662479965,21426
06111,1990,26,Total Covered,All Industries,13889,246208,5928735854,24080
06111,1990,27,Federal Government,All Industries,50,11913,368078627,30897
06111,1990,27,State Government,All Industries,135,3134,102028411,32555
06111,1990,27,Local Government,All Industries,97,26428,718478595,27186
06111,1990,27,Private,All Industries,13607,204732,4740150221,23152
09001,1990,26,Total Covered,All Industries,29201,407120,13969429779,34312
09001,1990,27,Federal Government,All Industries,67,5098,162848340,31943
09001,1990,27,State Government,All Industries,105,6576,190581923,28981
09001,1990,27,Local Government,All Industries,388,29339,910421746,31031
09001,1990,27,Private,All Industries,28641,366107,12705577770,34704
09007,1990,26,Total Covered,All Industries,4282,64251,1691119128,26320
09007,1990,27,Federal Government,All Industries,29,333,10568462,31737
09007,1990,27,State Government,All Industries,49,3507,96137171,27412
09007,1990,27,Local Government,All Industries,192,4808,126854975,26384
