area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
02261,1992,70,Total Covered,"Total, all industries",424,4571,163884313,35856
02261,1992,71,Federal Government,"Total, all industries",17,128,4849921,37890
02261,1992,71,State Government,"Total, all industries",41,492,19334160,39297
02261,1992,71,Local Government,"Total, all industries",12,717,23149407,32268
02261,1992,71,Private,"Total, all industries",355,3233,116550825,36048
02270,1992,70,Total Covered,"Total, all industries",99,1242,24192109,19476
02270,1992,71,Federal Government,"Total, all industries",6,31,623695,20283
02270,1992,71,State Government,"Total, all industries",11,16,610511,37378
02270,1992,71,Local Government,"Total, all industries",18,793,17784667,22439
02270,1992,71,Private,"Total, all industries",65,403,5173236,12853
06001,1992,70,Total Covered,"Total, all industries",37575,580372,17839879125,30739
06001,1992,71,Federal Government,"Total, all industries",118,19457,759208156,39020
06001,1992,71,State Government,"Total, all industries",320,37319,1197845907,32097
06001,1992,71,Local Government,"Total, all industries",141,60918,2061552551,33842
06001,1992,71,Private,"Total, all industries",36997,462679,13821272511,29872
06013,1992,70,Total Covered,"Total, all industries",23509,290580,8940733083,30769
06013,1992,71,Federal Government,"Total, all industries",65,7203,281055573,39017
06013,1992,71,State Government,"Total, all industries",35,665,22969408,34562
06013,1992,71,Local Government,"Total, all industries",104,35418,1061136327,29961
06013,1992,71,Private,"Total, all industries",23305,247294,7575571775,30634
06015,1992,70,Total Covered,"Total, all industries",791,6792,153957329,22669
06015,1992,71,Federal Government,"Total, all industries",15,174,5317927,30592
06015,1992,71,State Government,"Total, all industries",31,1161,54397998,46861
06015,1992,71,Local Government,"Total, all industries",20,1130,25646121,22687
06015,1992,71,Private,"Total, all industries",725,4327,68595283,15854
06023,1992,70,Total Covered,"Total, all industries",4969,43961,912139258,20749
06023,1992,71,Federal Government,"Total, all industries",53,863,26657647,30890
06023,1992,71,State Government,"Total, all industries",269,2351,88240027,37528
06023,1992,71,Local Government,"Total, all industries",87,6246,139125643,22274
06023,1992,71,Private,"Total, all industries",4560,34500,658115941,19076
06037,1992,70,Total Covered,"Total, all industries",253931,3822907,119839078866,31348
06037,1992,71,Federal Government,"Total, all industries",361,67188,2764025780,41139
06037,1992,71,State Government,"Total, all industries",1992,60254,1952610627,32407
06037,1992,71,Local Government,"Total, all industries",545,389971,13212423450,33881
06037,1992,71,Private,"Total, all industries",251034,3305495,101910019009,30830
06041,1992,70,Total Covered,"Total, all industries",10182,95239,2772285212,29109
06041,1992,71,Federal Government,"Total, all industries",34,975,36084572,37019
06041,1992,71,State Government,"Total, all industries",38,1378,62843902,45600
06041,1992,71,Local Government,"Total, all industries",83,9709,290068682,29876
06041,1992,71,Private,"Total, all industries",10028,83178,2383288056,28653
06045,1992,70,Total Covered,"Total, all industries",3701,28202,527122072,18691
06045,1992,71,Federal Government,"Total, all industries",41,327,10489422,32061
06045,1992,71,State Government,"Total, all industries",22,326,12272428,37636
06045,1992,71,Local Government,"Total, all industries",67,5188,110213547,21243
06045,1992,71,Private,"Total, all industries",3572,22361,394146675,17627
06053,1992,70,Total Covered,"Total, all industries",10147,137875,3042782387,22069
06053,1992,71,Federal Government,"Total, all industries",65,6471,138018894,21329
06053,1992,71,State Government,"Total, all industries",49,939,34384896,36612
06053,1992,71,Local Government,"Total, all industries",114,16237,488000708,30054
06053,1992,71,Private,"Total, all industries",9919,114227,2382377889,20857
06055,1992,70,Total Covered,"Total, all industries",4137,45402,1064720151,23451
06055,1992,71,Federal Government,"Total, all industries",19,315,11435517,36303
06055,1992,71,State Government,"Total, all industries",235,3217,106904012,33230
06055,1992,71,Local Government,"Total, all industries",29,4677,121486093,25974
06055,1992,71,Private,"Total, all industries",3855,37193,824894529,22179
06059,1992,70,Total Covered,"Total, all industries",72276,1138639,33464581139,29390
06059,1992,71,Federal Government,"Total, all industries",107,15599,597825532,38324
06059,1992,71,State Government,"Total, all industries",377,14705,525745724,35754
06059,1992,71,Local Government,"Total, all industries",220,89361,2857446284,31976
06059,1992,71,Private,"Total, all industries",71572,1018975,29483563599,28935
06073,1992,70,Total Covered,"Total, all industries",69166,959159,25158898881,26230
06073,1992,71,Federal Government,"Total, all industries",259,42172,1374978322,32604
06073,1992,71,State Government,"Total, all industries",530,26576,813170260,30598
06073,1992,71,Local Government,"Total, all industries",184,105654,3048709378,28855
06073,1992,71,Private,"Total, all industries",68193,784757,19922040921,25386
06075,1992,70,Total Covered,"Total, all industries",35853,536833,19294410215,35941
06075,1992,71,Federal Government,"Total, all industries",108,24793,1100755855,44398
06075,1992,71,State Government,"Total, all industries",748,27387,1027271076,37509
06075,1992,71,Local Government,"Total, all industries",31,36775,1487191872,40440
06075,1992,71,Private,"Total, all industries",34967,447878,15679191412,35008
06079,1992,70,Total Covered,"Total, all industries",6895,76272,1667695794,21865
06079,1992,71,Federal Government,"Total, all industries",46,689,20933566,30394
06079,1992,71,State Government,"Total, all industries",338,5718,232726322,40702
06079,1992,71,Local Government,"Total, all industries",76,8857,231062755,26088
06079,1992,71,Private,"Total, all industries",6435,61008,1182973151,19390
06081,1992,70,Total Covered,"Total, all industries",20753,292966,9860862599,33659
06081,1992,71,Federal Government,"Total, all industries",60,4397,179480087,40816
06081,1992,71,State Government,"Total, all industries",39,721,26588005,36894
06081,1992,71,Local Government,"Total, all industries",126,23954,803068237,33526
06081,1992,71,Private,"Total, all industries",20529,263894,8851726270,33543
06083,1992,70,Total Covered,"Total, all industries",11843,159916,3961784422,24774
06083,1992,71,Federal Government,"Total, all industries",60,4274,129411838,30281
06083,1992,71,State Government,"Total, all industries",41,9230,172847781,18727
06083,1992,71,Local Government,"Total, all industries",112,17440,473329101,27140
06083,1992,71,Private,"Total, all industries",11631,128972,3186195702,24705
06085,1992,70,Total Covered,"Total, all industries",41569,801343,29706900328,37071
06085,1992,71,Federal Government,"Total, all industries",81,12885,526036699,40826
06085,1992,71,State Government,"Total, all industries",375,6639,229910008,34630
06085,1992,71,Local Government,"Total, all industries",148,69046,2192035925,31747
06085,1992,71,Private,"Total, all industries",40965,712773,26758917696,37542
06087,1992,70,Total Covered,"Total, all industries",7654,94411,2191989357,23217
06087,1992,71,Federal Government,"Total, all industries",30,558,19517428,34951
06087,1992,71,State Government,"Total, all industries",34,4961,102962185,20754
06087,1992,71,Local Government,"Total, all industries",62,9917,279043581,28139
06087,1992,71,Private,"Total, all industries",7529,78975,1790466163,22671
06095,1992,70,Total Covered,"Total, all industries",7331,98619,2528227671,25636
06095,1992,71,Federal Government,"Total, all industries",56,11577,427021647,36887
06095,1992,71,State Government,"Total, all industries",77,2122,87008672,41008
06095,1992,71,Local Government,"Total, all industries",61,14019,392440637,27993
06095,1992,71,Private,"Total, all industries",7137,70902,1621756715,22873
06097,1992,70,Total Covered,"Total, all industries",14389,146291,3562644634,24353
06097,1992,71,Federal Government,"Total, all industries",66,1935,67863909,35066
06097,1992,71,State Government,"Total, all industries",237,4144,138560832,33435
06097,1992,71,Local Government,"Total, all industries",124,16480,459192116,27864
06097,1992,71,Private,"Total, all industries",13962,123732,2897027777,23414
06111,1992,70,Total Covered,"Total, all industries",16886,242758,6363576346,26214
06111,1992,71,Federal Government,"Total, all industries",60,11915,426552272,35800
06111,1992,71,State Government,"Total, all industries",128,3218,111910766,34782
06111,1992,71,Local Government,"Total, all industries",111,26610,801395212,30117
06111,1992,71,Private,"Total, all industries",16587,201016,5023718096,24992
09001,1992,70,Total Covered,"Total, all industries",29786,379052,14883972579,39266
09001,1992,71,Federal Government,"Total, all industries",85,4734,184248139,38921
09001,1992,71,State Government,"Total, all industries",118,5683,199059713,35028
09001,1992,71,Local Government,"Total, all industries",394,28028,983823279,35101
09001,1992,71,Private,"Total, all industries",29189,340607,13516841448,39685
09007,1992,70,Total Covered,"Total, all industries",4337,59099,1750601376,29622
09007,1992,71,Federal Government,"Total, all industries",40,329,12024227,36594
09007,1992,71,State Government,"Total, all industries",52,3019,102019925,33793
09007,1992,71,Local Government,"Total, all industries",205,4634,143250155,30914
09007,1992,71,Private,"Total, all industries",4040,51117,1493307069,29213
09009,1992,70,Total Covered,"Total, all industries",22337,333505,9816599110,29435
09009,1992,71,Federal Government,"Total, all industries",88,6356,244541010,38475
09009,1992,71,State Government,"Total, all industries",163,11360,341896747,30096
09009,1992,71,Local Government,"Total, all industries",418,27611,857432362,31054
09009,1992,71,Private,"Total, all industries",21667,288178,8372728991,29054
09011,1992,70,Total Covered,"Total, all industries",6325,106524,2982969109,28003
09011,1992,71,Federal Government,"Total, all industries",70,4451,147094151,33045
09011,1992,71,State Government,"Total, all industries",95,4664,149956624,32153
09011,1992,71,Local Government,"Total, all industries",283,9075,291049123,32073
09011,1992,71,Private,"Total, all industries",5877,88334,2394869211,27112
10001,1992,70,Total Covered,"Total, all industries",2741,43939,916690772,20863
10001,1992,71,Federal Government,"Total, all industries",30,2145,57834822,26964
10001,1992,71,State Government,"Total, all industries",39,5977,153773855,25729
10001,1992,71,Local Government,"Total, all industries",19,3732,94802706,25405
10001,1992,71,Private,"Total, all industries",2653,32085,610279389,19021
10003,1992,70,Total Covered,"Total, all industries",13072,236277,6858937541,29029
10003,1992,71,Federal Government,"Total, all industries",38,3150,123767529,39286
10003,1992,71,State Government,"Total, all industries",36,13070,301134756,23041
10003,1992,71,Local Government,"Total, all industries",27,11549,326140230,28241
10003,1992,71,Private,"Total, all industries",12972,208508,6107895026,29293
10005,1992,70,Total Covered,"Total, all industries",3674,49060,932015745,18997
10005,1992,71,Federal Government,"Total, all industries",26,469,14389013,30707
10005,1992,71,State Government,"Total, all industries",9,1469,29952897,20396
10005,1992,71,Local Government,"Total, all industries",32,3369,83186177,24695
10005,1992,71,Private,"Total, all industries",3608,43754,804487658,18386
11001,1992,70,Total Covered,"Total, all industries",23360,656090,24906448603,37962
11001,1992,71,Federal Government,"Total, all industries",238,230640,10082660386,43716
11001,1992,71,State Government,"Total, all industries",12,49874,1695234184,33991
11001,1992,71,Local Government,"Total, all industries",16,4559,198756109,43596
11001,1992,71,Private,"Total, all industries",23090,371007,12929034165,34848
12005,1992,70,Total Covered,"Total, all industries",3473,52243,1025580839,19631
12005,1992,71,Federal Government,"Total, all industries",36,3765,113094354,30041
12005,1992,71,State Government,"Total, all industries",52,1028,22808774,22179
12005,1992,71,Local Government,"Total, all industries",29,6737,148526491,22047
12005,1992,71,Private,"Total, all industries",3357,40713,741151220,18204
12009,1992,70,Total Covered,"Total, all industries",9051,159938,4247483361,26557
12009,1992,71,Federal Government,"Total, all industries",40,6437,228363548,35479
